 110 - 2024-07-18 12:57:58,425 - root - ERROR - Error fetching URL http://54.88.205.124/ipdiversity.html: 404 Client Error: Not Found for url: http://54.88.205.124/ipdiversity.html 
 110 - 2024-07-18 12:57:58,850 - root - ERROR - Error fetching URL http://54.88.205.124/ipdiversity.html: 404 Client Error: Not Found for url: http://54.88.205.124/ipdiversity.html 
 112 - 2024-07-18 12:57:58,850 - root - ERROR - Not found IP: 54.88.205.124 after 3 attempts 
 57 - 2024-07-18 12:57:58,850 - root - INFO - Attempting to fetch data from URL:- http://54.200.212.14/ipdiversity.html 
 94 - 2024-07-18 12:57:59,334 - root - WARNING - table data not found for 54.200.212.14 
 57 - 2024-07-18 12:57:59,334 - root - INFO - Attempting to fetch data from URL:- http://44.227.35.42/ipdiversity.html 
 57 - 2024-07-18 12:58:00,696 - root - INFO - Attempting to fetch data from URL:- http://18.116.92.248/ipdiversity.html 
 110 - 2024-07-18 12:58:01,132 - root - ERROR - Error fetching URL http://18.116.92.248/ipdiversity.html: 404 Client Error: Not Found for url: http://18.116.92.248/ipdiversity.html 
 110 - 2024-07-18 12:58:01,567 - root - ERROR - Error fetching URL http://18.116.92.248/ipdiversity.html: 404 Client Error: Not Found for url: http://18.116.92.248/ipdiversity.html 
 110 - 2024-07-18 12:58:02,008 - root - ERROR - Error fetching URL http://18.116.92.248/ipdiversity.html: 404 Client Error: Not Found for url: http://18.116.92.248/ipdiversity.html 
 112 - 2024-07-18 12:58:02,009 - root - ERROR - Not found IP: 18.116.92.248 after 3 attempts 
 57 - 2024-07-18 12:58:02,009 - root - INFO - Attempting to fetch data from URL:- http://3.211.175.233/ipdiversity.html 
 110 - 2024-07-18 12:58:02,426 - root - ERROR - Error fetching URL http://3.211.175.233/ipdiversity.html: 404 Client Error: Not Found for url: http://3.211.175.233/ipdiversity.html 
 110 - 2024-07-18 12:58:02,852 - root - ERROR - Error fetching URL http://3.211.175.233/ipdiversity.html: 404 Client Error: Not Found for url: http://3.211.175.233/ipdiversity.html 
 110 - 2024-07-18 12:58:03,271 - root - ERROR - Error fetching URL http://3.211.175.233/ipdiversity.html: 404 Client Error: Not Found for url: http://3.211.175.233/ipdiversity.html 
